epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,153.614,0.46819,0.46341,0.87138,0.94131,0.89633,0.93089,0.78823,0.49192,0.50406,0.83128,0.000382323,0.000382323,0.000382323
55,155.966,0.49331,0.46656,0.8823,0.92924,0.9154,0.94497,0.79188,0.47656,0.50513,0.83342,0.000368574,0.000368574,0.000368574
56,158.378,0.48788,0.46561,0.87915,0.89044,0.92845,0.93807,0.78846,0.47764,0.50577,0.83385,0.000354826,0.000354826,0.000354826
57,160.613,0.49561,0.46655,0.873,0.92946,0.90143,0.94439,0.7969,0.47851,0.50466,0.83655,0.000341077,0.000341077,0.000341077
58,163.961,0.48662,0.46151,0.86582,0.93463,0.91187,0.94898,0.80068,0.48981,0.50769,0.83948,0.000327328,0.000327328,0.000327328
59,166.998,0.47802,0.44416,0.87345,0.94078,0.90313,0.94954,0.80115,0.49161,0.50801,0.84168,0.00031358,0.00031358,0.00031358
60,169.476,0.49563,0.46293,0.88349,0.92893,0.90795,0.95001,0.80688,0.47694,0.50303,0.8359,0.000299831,0.000299831,0.000299831
61,171.95,0.47288,0.45377,0.87245,0.9058,0.93074,0.95241,0.80325,0.49533,0.48286,0.83812,0.000286083,0.000286083,0.000286083
62,174.363,0.45034,0.43946,0.86839,0.947,0.90177,0.95376,0.80986,0.46554,0.47289,0.83152,0.000272334,0.000272334,0.000272334
63,177.375,0.45816,0.4413,0.86813,0.92285,0.92809,0.95957,0.82178,0.45617,0.45649,0.83087,0.000258585,0.000258585,0.000258585
64,180.698,0.45427,0.44543,0.87266,0.94458,0.92158,0.95574,0.81204,0.46477,0.44857,0.8316,0.000244837,0.000244837,0.000244837
65,183.278,0.45432,0.43202,0.87323,0.94612,0.92221,0.95863,0.81196,0.46793,0.45814,0.83122,0.000231088,0.000231088,0.000231088
66,185.641,0.45101,0.42898,0.85827,0.92897,0.92919,0.95591,0.81359,0.46338,0.45354,0.83037,0.000217339,0.000217339,0.000217339
67,188.205,0.45388,0.42686,0.86423,0.95003,0.92506,0.95962,0.81447,0.46425,0.45426,0.83016,0.000203591,0.000203591,0.000203591
68,190.9,0.4389,0.4294,0.866,0.93972,0.93032,0.95916,0.81558,0.45207,0.44766,0.82508,0.000189842,0.000189842,0.000189842
69,194.084,0.46752,0.43475,0.86936,0.92793,0.9452,0.95607,0.81556,0.45096,0.44928,0.82628,0.000176094,0.000176094,0.000176094
70,197.526,0.45895,0.43661,0.87081,0.94012,0.9262,0.95452,0.81245,0.45303,0.45062,0.82759,0.000162345,0.000162345,0.000162345
71,202.332,0.43428,0.52037,0.84196,0.92882,0.92412,0.95456,0.81141,0.48318,0.52563,0.83052,0.000148596,0.000148596,0.000148596
72,205.1,0.41141,0.45663,0.82583,0.94968,0.92488,0.95494,0.81169,0.47781,0.60419,0.83085,0.000134848,0.000134848,0.000134848
73,208.355,0.41465,0.4364,0.82751,0.94786,0.9187,0.95414,0.81267,0.47206,0.53243,0.83395,0.000121099,0.000121099,0.000121099
74,211.478,0.39183,0.4131,0.82414,0.93258,0.93288,0.95219,0.81601,0.46799,0.5254,0.83257,0.00010735,0.00010735,0.00010735
75,213.935,0.36639,0.40125,0.82536,0.93079,0.93318,0.94941,0.81744,0.46377,0.50219,0.82883,9.36017e-05,9.36017e-05,9.36017e-05
76,216.191,0.36645,0.38917,0.82848,0.92808,0.93775,0.95101,0.8203,0.45507,0.46679,0.82641,7.98531e-05,7.98531e-05,7.98531e-05
77,218.326,0.36869,0.39252,0.81371,0.92666,0.94558,0.95147,0.82185,0.45187,0.46384,0.82688,6.61045e-05,6.61045e-05,6.61045e-05
78,220.554,0.37129,0.39234,0.8122,0.91954,0.94829,0.95259,0.82406,0.44957,0.46692,0.82641,5.23559e-05,5.23559e-05,5.23559e-05
79,223.555,0.37072,0.39422,0.81882,0.92348,0.9455,0.95347,0.81958,0.44864,0.45833,0.8259,3.86073e-05,3.86073e-05,3.86073e-05
80,226.943,0.34511,0.37873,0.81413,0.9496,0.91805,0.95332,0.82034,0.44939,0.45281,0.82646,2.48586e-05,2.48586e-05,2.48586e-05
